"","q16","reltrad","income"
"172"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","10 to under $20,000"
"173"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","10 to under $20,000"
"174"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"175"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"176"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"177"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"178"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"179"," Roman Catholic "," Catholic ","20 to under $30,000"
"180"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"181"," Roman Catholic "," Catholic ","30 to under $40,000"
"182"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"183"," Christian (VOL) "," Mainline Protestant Churches ","50 to under $75,000"
"184"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"185"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"186"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"187"," Roman Catholic "," Catholic ","75 to under $100,000"
"188"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"189"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"190"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"191"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"192"," Agnostic (not sure if there is a God) "," Unaffiliated ","Less than $10,000"
"193"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"194"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"195"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"196"," Roman Catholic "," Catholic ","100 to under $150,000"
"197"," Roman Catholic "," Catholic ","40 to under $50,000"
"198"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"199"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"200"," Roman Catholic "," Catholic ","20 to under $30,000"
"201"," Roman Catholic "," Catholic ","Less than $10,000"
"202"," Roman Catholic "," Catholic ","40 to under $50,000"
"203"," Christian (VOL) "," Evangelical Protestant Churches ","30 to under $40,000"
"204"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"205"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","40 to under $50,000"
"206"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"207"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"208"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"209"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"210"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"211"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"212"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"213"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"214"," Unitarian (Universalist) (VOL) "," Other Faiths ","100 to under $150,000"
"215"," Protestant "," Historically Black Protestant Churches ","75 to under $100,000"
"216"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"217"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"218"," Christian (VOL) "," Mainline Protestant Churches ","50 to under $75,000"
"219"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"220"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"221"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"222"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"223"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"224"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"225"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"226"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"227"," Christian (VOL) "," Mainline Protestant Churches ","$150,000 or more"
"228"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"229"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"230"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"231"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"232"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"233"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"234"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"235"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"236"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"237"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"238"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"239"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"240"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"241"," Roman Catholic "," Catholic ","40 to under $50,000"
"242"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"243"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"244"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"245"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"246"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"247"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"248"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"249"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"250"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"251"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"252"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"253"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"254"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"255"," Roman Catholic "," Catholic ","20 to under $30,000"
"256"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"257"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"258"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"259"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"260"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"261"," Agnostic (not sure if there is a God) "," Unaffiliated ","10 to under $20,000"
"262"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"263"," Roman Catholic "," Catholic ","40 to under $50,000"
"264"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"265"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"266"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"267"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"268"," Roman Catholic "," Catholic ","20 to under $30,000"
"269"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"270"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"271"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"272"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"273"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"274"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"275"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"276"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"277"," Protestant "," Historically Black Protestant Churches ","$150,000 or more"
"278"," Roman Catholic "," Catholic ","75 to under $100,000"
"279"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"280"," Roman Catholic "," Catholic ","30 to under $40,000"
"281"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"282"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"283"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"284"," Roman Catholic "," Catholic ","50 to under $75,000"
"285"," Roman Catholic "," Catholic ","30 to under $40,000"
"286"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"287"," Christian (VOL) "," Evangelical Protestant Churches ","100 to under $150,000"
"288"," Pagan (VOL) "," Other Faiths ","30 to under $40,000"
"289"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"290"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"291"," Christian (VOL) "," Mainline Protestant Churches ","75 to under $100,000"
"292"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"293"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"294"," Roman Catholic "," Catholic ","75 to under $100,000"
"295"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"296"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"297"," Roman Catholic "," Catholic ","30 to under $40,000"
"298"," Roman Catholic "," Catholic ","20 to under $30,000"
"299"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"300"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"301"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"302"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"303"," Roman Catholic "," Catholic ","$150,000 or more"
"304"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"305"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"306"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"307"," Atheist (do not believe in God) "," Unaffiliated ","50 to under $75,000"
"308"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"309"," Roman Catholic "," Catholic ","30 to under $40,000"
"310"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"311"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"312"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"313"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"314"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"315"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"316"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"317"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"318"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"319"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"320"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"321"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"322"," Roman Catholic "," Catholic ","$150,000 or more"
"323"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"324"," Christian (VOL) "," Historically Black Protestant Churches ","10 to under $20,000"
"325"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"326"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"327"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"328"," Roman Catholic "," Catholic ","50 to under $75,000"
"329"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"330"," Roman Catholic "," Catholic ","100 to under $150,000"
"331"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"332"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"333"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"334"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"335"," Roman Catholic "," Catholic ","30 to under $40,000"
"336"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","30 to under $40,000"
"337"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"338"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"339"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"340"," Unitarian (Universalist) (VOL) "," Other Faiths ","50 to under $75,000"
"341"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"342"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"343"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"344"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"345"," Roman Catholic "," Catholic ","100 to under $150,000"
"346"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"347"," Roman Catholic "," Catholic ","Less than $10,000"
"348"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"349"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","100 to under $150,000"
"350"," Atheist (do not believe in God) "," Unaffiliated ","75 to under $100,000"
"351"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"352"," Roman Catholic "," Catholic ","75 to under $100,000"
"353"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"354"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"355"," Liberal faith (VOL) "," Other Faiths ","30 to under $40,000"
"356"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"357"," Roman Catholic "," Catholic ","30 to under $40,000"
"358"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"359"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"360"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"361"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"362"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"363"," Buddhist "," Buddhist ","20 to under $30,000"
"364"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"365"," Roman Catholic "," Catholic ","30 to under $40,000"
"366"," Roman Catholic "," Catholic ","50 to under $75,000"
"367"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"368"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"369"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"370"," Muslim (Islam) "," Muslim ","50 to under $75,000"
"371"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"372"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"373"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"374"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"375"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"376"," Roman Catholic "," Catholic ","50 to under $75,000"
"377"," Roman Catholic "," Catholic ","20 to under $30,000"
"378"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"379"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"380"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"381"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"382"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"383"," Unitarian (Universalist) (VOL) "," Other Faiths ","Don't know/Refused (VOL.)"
"384"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"385"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"386"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"387"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"388"," Roman Catholic "," Catholic ","10 to under $20,000"
"389"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"390"," Roman Catholic "," Catholic ","50 to under $75,000"
"391"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"392"," Muslim (Islam) "," Muslim ","Less than $10,000"
"393"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"394"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"395"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"396"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"397"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"398"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"399"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"400"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"401"," Roman Catholic "," Catholic ","75 to under $100,000"
"402"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"403"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"404"," Roman Catholic "," Catholic ","40 to under $50,000"
"405"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"406"," Roman Catholic "," Catholic ","Less than $10,000"
"407"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"408"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"409"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","40 to under $50,000"
"410"," Eclectic, a bit of everything, own beliefs (VOL) "," Other Faiths ","40 to under $50,000"
